kód_obce;názov_obce;voliči_v_zozname;vydané_obálky;platné_hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
533050;Vinařice;1984;1223;1219;432;4;2;1;9;128;12;1;98;8;14;3;0;4;6;42;4;20;13;138;46;1;140;93;0;0
533068;Vraný;580;309;308;110;0;1;0;0;35;13;0;18;0;5;0;0;0;1;19;0;9;2;34;5;0;29;26;0;1
571431;Vrbičany;187;88;88;34;0;1;0;0;20;0;0;3;1;0;0;0;0;0;0;0;0;1;11;0;0;8;7;0;2
571598;Zájezd;92;58;57;19;1;0;0;2;3;0;0;10;0;2;0;0;0;0;5;0;2;0;8;1;0;2;2;0;0
533092;Zákolany;454;287;287;62;0;0;0;0;32;10;1;29;5;1;1;2;0;0;32;0;3;5;29;16;0;39;20;0;0
571423;Zichovec;119;105;105;33;0;0;0;0;6;4;0;16;0;0;0;0;0;1;17;0;1;3;2;3;0;9;10;0;0
533114;Zlonice;1806;881;876;309;1;0;2;8;105;16;0;70;5;15;2;0;2;2;39;2;15;13;128;19;1;61;60;0;1
533122;Zvoleněves;701;364;364;118;0;0;0;0;43;7;0;36;1;0;0;0;0;0;6;0;7;6;54;16;0;43;26;0;1
599425;Želenice;151;91;91;39;0;0;0;0;11;5;0;1;1;1;0;0;0;0;2;0;0;1;5;4;0;11;10;0;0
533149;Žilina;645;427;425;103;1;0;1;0;54;10;0;48;2;3;0;0;1;2;29;1;11;6;56;19;0;49;29;0;0
533157;Žižice;487;298;296;107;1;0;0;1;27;0;0;43;0;3;0;0;2;1;17;0;1;3;27;6;0;40;16;0;1
